tribunal,fecha,roles,cantidad,resultado,fundamento,fuente_tipo,url
Corte de Apelaciones de Punta Arenas,2026-04-16,"169-2016, 172-2016 y 174-2026 (transcripción publicada por PJUD)",3,Inadmisibles,El perjuicio debía alegarse en el procedimiento administrativo; protección no considerada vía idónea.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/144160
"Corte de Apelaciones de Valparaíso, Segunda Sala",2026-04-21,3.090-2026,1,Orden de no innovar,Suspendió el cobro de deuda CAE por TGR mientras se tramita la protección; no constituye decisión final de fondo.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/144314
Corte de Apelaciones de Valdivia,2026-04-22,429-2026,1,Inadmisible,Existía expediente administrativo en tramitación; protección no considerada vía idónea.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/144365
Corte Suprema / Corte de Apelaciones de Copiapó,2026-05-08,CS 24.371-2026; Protección Copiapó 524-2026,1,Inadmisible confirmada,"La discusión sobre naturaleza jurídica del crédito, tribunal competente y procedimiento aplicable excedía la acción cautelar de protección.",DOE / resolución judicial,https://actualidadjuridica.doe.cl/corte-suprema-confirma-inadmisibilidad-por-cobro-cae/
"Corte de Apelaciones de Arica, Primera Sala",2026-05-15,203-2026,1,Acogido,La cobranza CAE debe someterse a reglas generales; el uso del procedimiento tributario resultó más restrictivo y vulneró igualdad ante la ley.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/145089
"Corte Suprema, Primera Sala",2026-05-28,17.949-2025,1,Prescripción acogida,"Acogió casación y declaró prescrita la acción cambiaria de cobro de pagarés CAE contra Banco Itaú-Corpbanca; antecedente CAE relacionado, no recurso contra embargo TGR.",Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/145441
Corte de Apelaciones de Arica,2026-06-08,300-2026,1,Rechazado,TGR informó que se validó el procedimiento de cobro coactivo; falta incorporar copia independiente del fallo al corpus local.,TGR / prensa,https://www.cnnchile.com/pais/corte-suprema-declara-inadmisibles-mas-de-450-recursos-de-proteccion-por-embargos-de-deudas-del-cae/
"Corte de Apelaciones de Valparaíso, Tercera Sala",2026-06-11,3.809-2026,1,Acogido,El crédito CAE fue considerado de naturaleza especial; su cobro mediante normativa tributaria restringía la defensa y lesionaba la igualdad ante la ley.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/145909
"Corte de Apelaciones de Valparaíso, Cuarta Sala",2026-06-11,"3.337-2026, 3.349-2026 y 3.879-2026",3,Rechazados,La naturaleza del crédito y el procedimiento aplicable excedían el ámbito cautelar del recurso de protección.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/145909
"Corte de Apelaciones de Valparaíso, Quinta Sala",2026-06-11,3.249-2026,1,Rechazado,La sala estimó que la Ley 20.027 y el DL 1.263 facultaban a TGR para iniciar el cobro.,Poder Judicial,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/145909
